Timestamp,1. Độ tuổi của bạn?,2. Giới tính:,3. Bạn hiện đang học tập hay làm việc trong lĩnh vực nào?,"4. Tần suất bạn sử dụng ChatGPT là bao nhiêu?
Từ câu hỏi này trở đi, vui lòng chọn các đáp án theo hiểu biết rằng bạn đã nghe tới ChatGPT (có thể từ chính khảo sát này).",1. Bạn đã nghe đến ChatGPT từ đâu?,"2. Trên thang điểm 5, bạn đánh giá mức độ ảnh hưởng của ChatGPT lên công việc/học tập của bạn là bao nhiêu?",3. Bạn đã/sẽ sử dụng Chat GPT trong tình huống/công việc nào dưới đây? (Vui lòng chọn tối đa 4 ô),"5. Trên thang điểm 5, bạn sẵn sàng giới thiệu ChatGPT cho người khác là bao nhiêu?",,"2. Theo bạn, ChatGPT có khả năng gây ra các vấn đề liên quan đến quyền riêng tư và an ninh thông tin cho cá nhân bạn không?","3.  Giả sử bạn là học sinh/sinh viên, trên thang điểm 5, bạn đánh giá mức độ cần thiết của việc tổ chức những chương trình/workshop hướng dẫn bạn sử dụng ChatGPT trong học tập/công việc là bao nhiêu?","4. Giả sử bạn là học sinh/sinh viên, trên thang điểm 5, bạn đánh giá mức độ ảnh hưởng của ChatGPT lên điểm số/chất lượng bài tập của bạn như thế nào? 

(VD: Điểm số/Chất lượng bài tập khi dùng ChatGPT có thể sẽ cao hơn điểm số/chất lượng bài tập khi không dùng ChatGPT)","5. Giả sử bạn là học sinh, trên thang điểm 5, bạn đánh giá việc sử dụng ChatGPT sẽ ảnh hưởng thế nào tới sự chênh lệch điểm số/năng lực giữa các học sinh với nhau? 

(VD: Học sinh sử dụng ChatGPT sẽ có điểm số cao hơn, được đánh giá giỏi hơn những học sinh không sử dụng)","1. ChatGPT đã bị cấm tại một số quốc gia bởi đội ngũ phát triển hoặc Chính phủ như Ý, Nga và Triều Tiên. 

Bạn đánh giá thế nào việc cho phép học sinh/sinh viên Việt Nam sử dụng ChatGPT trong học tập?","2. Trên thang điểm 5, bạn đánh giá mức độ cần thiết của việc cung cấp thông tin về ứng dụng ChatGPT cho công chúng và các lưu ý liên quan từ cơ quan Chính phủ là bao nhiêu?

(VD: Bài viết giới thiệu/hướng dẫn qua các kênh như Thông tin Chính phủ, VTV24 hoặc các báo đài tương tự)","3. Trên thang điểm 5, bạn đánh giá sự cần thiết của những Quy định cụ thể do Bộ Giáo dục & Đào tạo ban hành để đảm bảo rằng ChatGPT không bị lạm dụng hoặc sử dụng sai mục đích trong trường học ở Việt Nam là bao nhiêu?","4. Một số trường trung học phổ thông, cao đẳng, đại học và sau đại học trên thế giới đã sử dụng công nghệ (VD: mô hình trí tuệ nhân tạo ZeroGPT) để phát hiện việc sử dụng ChatGPT trong bài kiểm tra và bài tập. 

Trên thang điểm 5, bạn đánh giá sự cần thiết của việc áp dụng hình thức tương tự tại Việt Nam là bao nhiêu?","Anh/chị/bạn có nhận xét, đánh giá gì khác về khảo sát muốn chia sẻ với nhóm nghiên cứu không?"
03/05/2023 15:53:48,Từ 36 đến 49 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Hằng tuần,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập",5,3,Cần tìm hiểu thêm,1,5,4,5,5,4,3,Không
03/05/2023 16:05:57,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Kết bạn, kết nối với nhiều người, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",1,1,Có,2,1,5,1,2,5,5,
03/05/2023 16:24:45,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,2,Cần tìm hiểu thêm,2,2,2,3,2,2,2,
03/05/2023 16:36:56,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Kết bạn, kết nối với nhiều người, Giải trí, thư giãn (một mình, hoặc cùng bạn bè), Khác",4,4,Cần tìm hiểu thêm,4,3,3,3,3,3,4,
03/05/2023 16:55:14,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải trí, thư giãn (một mình, hoặc cùng bạn bè), Khác",3,3,Cần tìm hiểu thêm,3,4,4,3,4,5,5,
03/05/2023 16:56:16,Từ 36 đến 49 tuổi,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.), Sự kiện, Hội thảo Chuyên ngành, v.v.",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,3,Có,4,4,3,5,5,5,5,
03/05/2023 16:58:56,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,3,Có,4,4,4,3,3,3,3,
03/05/2023 17:05:00,Từ 18 đến 25 tuổi,Nam,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,2,Có,5,5,5,3,4,3,4,
03/05/2023 17:08:54,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,2,Có,1,4,5,4,5,5,5,
03/05/2023 17:29:25,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức",2,3,Có,3,3,3,3,3,4,2,Không
03/05/2023 18:02:03,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",1,"Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",1,1,Cần tìm hiểu thêm,5,1,1,2,2,5,2,
03/05/2023 18:02:46,Từ 26 đến 35 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",2,Khác,1,3,Có,3,3,2,3,2,4,4,Không
03/05/2023 18:33:01,Từ 36 đến 49 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức",1,1,Cần tìm hiểu thêm,3,3,3,3,5,5,5,
03/05/2023 18:50:08,Từ 36 đến 49 tuổi,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",1,Khác,2,3,Cần tìm hiểu thêm,2,2,3,1,4,4,3,
03/05/2023 18:51:25,Từ 18 đến 25 tuổi,Nữ,"Kinh doanh & Quản lý (Tài chính, Marketing, Kế Toán, Bán hàng, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập",3,3,Có,4,2,4,3,5,5,5,
03/05/2023 19:54:53,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,3,Có,5,2,4,3,2,2,4,
03/05/2023 20:27:35,Từ 18 đến 25 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Khác",4,4,Cần tìm hiểu thêm,3,3,3,3,3,3,3,hmm tôi nghĩ là nên free để mọi người dễ tiếp xúc
03/05/2023 20:28:39,Dưới 18,Nam,Tự do/Khác,Hằng tuần,"Mạng xã hội (Facebook, Youtube, v.v.)",5,"Truy cập và tìm kiếm thông tin, kiến thức",5,5,Cần tìm hiểu thêm,5,5,5,5,5,5,5,
03/05/2023 20:28:52,Dưới 18,Nam,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",4,"Dịch, tóm tắt, và paraphrase tài liệu",1,1,Không,1,1,3,1,4,4,1,Ghiknn
03/05/2023 20:33:48,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,Khác,1,2,Cần tìm hiểu thêm,2,2,2,2,2,1,3,
03/05/2023 20:35:45,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức",3,3,Không,3,3,3,3,3,3,3,
03/05/2023 20:36:01,Dưới 18,Nam,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Sự kiện, Hội thảo Chuyên ngành, v.v.",2,Khác,2,3,Cần tìm hiểu thêm,3,3,3,3,3,3,3,Không
03/05/2023 20:39:30,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức",5,5,Cần tìm hiểu thêm,5,3,3,5,5,3,4,Bài khảo sát rất hữu ích 
03/05/2023 20:41:15,Dưới 18,Nữ,"Báo chí, Thông tin & Truyền thông",Hằng tuần,"Mạng xã hội (Facebook, Youtube, v.v.)",1,"Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,5,Cần tìm hiểu thêm,4,4,4,4,4,4,5,
03/05/2023 20:42:03,Dưới 18,Nam,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",4,"Giải toán & Giải bài tập, Kết bạn, kết nối với nhiều người, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,5,Không,3,3,4,3,2,3,2,
03/05/2023 20:43:56,Dưới 18,Nữ,Tự do/Khác,Hằng tháng,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Kết bạn, kết nối với nhiều người",3,4,Có,3,4,4,4,3,3,4,
03/05/2023 20:49:04,Dưới 18,Nam,Tự do/Khác,Hằng ngày,"Mạng xã hội (Facebook, Youtube, v.v.)",5,Giải toán & Giải bài tập,5,5,Không,5,5,5,5,5,5,5,
03/05/2023 20:50:34,Dưới 18,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",4,Khác,5,5,Không,4,4,4,4,4,4,4,Không 
03/05/2023 20:50:36,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",1,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập",5,4,Cần tìm hiểu thêm,3,3,5,3,3,5,4,Khong a
03/05/2023 20:57:37,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",3,3,Cần tìm hiểu thêm,2,3,3,3,3,3,3,
03/05/2023 20:57:39,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",2,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",4,4,Cần tìm hiểu thêm,3,3,4,3,2,5,4,
03/05/2023 20:58:07,Dưới 18,Nữ,"Khoa học Tự nhiên (Vật lý, Hóa học, Sinh học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.), Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",4,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,5,Cần tìm hiểu thêm,5,4,4,5,5,5,4,
03/05/2023 20:59:50,Dưới 18,Nam,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.), Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,4,Cần tìm hiểu thêm,4,3,5,4,5,5,5,
03/05/2023 21:01:34,Dưới 18,Nam,"Khoa học Tự nhiên (Vật lý, Hóa học, Sinh học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.), Mạng xã hội (Facebook, Youtube, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Khác",5,4,Cần tìm hiểu thêm,4,3,3,3,4,5,5,
03/05/2023 21:02:16,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Dịch, tóm tắt, và paraphrase tài liệu, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập, Kết bạn, kết nối với nhiều người, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",4,5,Cần tìm hiểu thêm,4,4,3,4,4,4,4,
03/05/2023 21:04:42,Dưới 18,Nữ,Tự do/Khác,Tôi không còn sử dụng ChatGPT nữa,"Môi trường làm việc - trường học (Đồng nghiệp, Quản lí, Thầy cô, v.v.)",4,Khác,2,5,Cần tìm hiểu thêm,4,4,4,3,2,5,5,
03/05/2023 21:05:13,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Mạng xã hội (Facebook, Youtube, v.v.)",1,"Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,4,Cần tìm hiểu thêm,4,2,3,3,3,2,4,
03/05/2023 21:05:45,Dưới 18,Phi nhị nguyên giới (Non-binary),Tự do/Khác,Tôi không còn sử dụng ChatGPT nữa,"Mạng xã hội (Facebook, Youtube, v.v.)",5,Khác,1,1,Cần tìm hiểu thêm,1,1,1,2,2,2,2,Khun
03/05/2023 21:08:43,Dưới 18,Nữ,"Khoa học Xã hội & Nhân văn (Lịch sử, Văn học, Tâm lý học, Nhân chủng học, v.v.)",Tôi chưa từng sử dụng ChatGPT,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",1,Giải toán & Giải bài tập,3,3,Cần tìm hiểu thêm,5,1,3,3,5,5,3,
03/05/2023 21:49:09,Từ 26 đến 35 tuổi,Phi nhị nguyên giới (Non-binary),"Giải trí và Nghệ thuật (Diễn viên, thời trang, đạo diễn,...)",Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",2,"Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",3,2,Cần tìm hiểu thêm,3,2,4,2,2,4,4,Phải nghiên cứu tí đã
03/05/2023 21:50:56,Từ 18 đến 25 tuổi,Nam,Công nghệ Thông tin/Khoa học Máy tính,Hằng ngày,"Mối quan hệ cá nhân (Gia đình, bạn bè, v.v.)",5,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Giải toán & Giải bài tập, Chấm điểm, đưa phản hồi về bài tập, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",5,4,Có,3,4,3,4,5,3,5,
03/05/2023 21:54:30,Dưới 18,Nữ,Tự do/Khác,Tôi chưa từng sử dụng ChatGPT,"Các nguồn Thông tin Chính phủ (Thời sự, v.v.)",3,"Truy cập và tìm kiếm thông tin, kiến thức, Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật, Kết bạn, kết nối với nhiều người, Giải trí, thư giãn (một mình, hoặc cùng bạn bè)",3,3,Cần tìm hiểu thêm,3,3,3,4,3,3,3,
03/05/2023 22:40:50,Dưới 18,Nam,Tự do/Khác,Hằng ngày,"Mạng xã hội (Facebook, Youtube, v.v.)",4,"Lên ý tưởng, lấy cảm hứng, sáng tác nghệ thuật",5,4,Có,4,4,4,5,4,4,4,
